zip,city,county,pop
61614,Peoria,Peoria,28207
61615,Peoria,Peoria,23219
61616,Peoria,Peoria,5860
61625,Peoria,Peoria,378
61701,Bloomington,Mclean,35669
61704,Bloomington,Mclean,36612
61720,Anchor,Mclean,215
61721,Armington,Tazewell,574
61722,Arrowsmith,Mclean,525
61723,Atlanta,Logan,2689
61724,Bellflower,Mclean,578
61725,Carlock,Mclean,1726
61726,Chenoa,Mclean,2476
61727,Clinton,Dewitt,9742
61728,Colfax,Mclean,1365
61729,Congerville,Woodford,1149
61730,Cooksville,Mclean,513
61731,Cropsey,Mclean,183
61732,Danvers,Mclean,2024
61733,Deer Creek,Tazewell,793
61734,Delavan,Tazewell,2792
61735,Dewitt,Dewitt,361
61736,Downs,Mclean,1874
61737,Ellsworth,Mclean,490
61738,El Paso,Woodford,4391
61739,Fairbury,Livingston,4614
61740,Flanagan,Livingston,1482
61741,Forrest,Livingston,1643
61742,Goodfield,Woodford,1263
61743,Graymont,Livingston,186
61744,Gridley,Mclean,1923
61745,Heyworth,Mclean,4658
61747,Hopedale,Tazewell,1439
61748,Hudson,Mclean,2652
61749,Kenney,Dewitt,535
61750,Lane,Dewitt,135
61751,Lawndale,Logan,93
61752,Le Roy,Mclean,4346
61753,Lexington,Mclean,3083
61754,Mc Lean,Mclean,1016
61755,Mackinaw,Tazewell,4783
61756,Maroa,Macon,2313
61759,Minier,Tazewell,1588
61760,Minonk,Woodford,2306
61761,Normal,Mclean,55152
61764,Pontiac,Livingston,13732
61769,Saunemin,Livingston,640
61770,Saybrook,Mclean,1046
61771,Secor,Woodford,855
61772,Shirley,Mclean,239
61773,Sibley,Ford,421
61774,Stanford,Mclean,979
61775,Strawn,Livingston,339
61776,Towanda,Mclean,1216
61777,Wapella,Dewitt,780
61778,Waynesville,Dewitt,649
61801,Urbana,Champaign,31312
61802,Urbana,Champaign,19509
61810,Allerton,Vermilion,285
61811,Alvin,Vermilion,709
61812,Armstrong,Vermilion,387
61813,Bement,Piatt,1598
61814,Bismarck,Vermilion,1072
61815,Bondville,Champaign,261
61816,Broadlands,Champaign,483
61817,Catlin,Vermilion,2528
61818,Cerro Gordo,Piatt,1814
61820,Champaign,Champaign,38393
61821,Champaign,Champaign,31207
61822,Champaign,Champaign,25530
61830,Cisco,Piatt,390
61831,Collison,Vermilion,139
61832,Danville,Vermilion,34421
61833,Tilton,Vermilion,2261
61834,Danville,Vermilion,8625
61839,De Land,Piatt,664
61840,Dewey,Champaign,619
61841,Fairmount,Vermilion,1278
61842,Farmer City,Dewitt,2765
61843,Fisher,Champaign,2494
61844,Fithian,Vermilion,755
61845,Foosland,Champaign,324
61846,Georgetown,Vermilion,4900
61847,Gifford,Champaign,1365
61848,Henning,Vermilion,242
61849,Homer,Champaign,1903
61850,Indianola,Vermilion,450
61851,Ivesdale,Champaign,334
61852,Longview,Champaign,222
61853,Mahomet,Champaign,13875
61854,Mansfield,Piatt,1193
61855,Milmine,Piatt,133
61856,Monticello,Piatt,7771
61857,Muncie,Vermilion,144
61858,Oakwood,Vermilion,2980
61859,Ogden,Champaign,1276
61862,Penfield,Champaign,564
61863,Pesotum,Champaign,872
61864,Philo,Champaign,1770
61865,Potomac,Vermilion,1642
61866,Rantoul,Champaign,14163
61870,Ridge Farm,Vermilion,1265
61871,Royal,Champaign,314
61872,Sadorus,Champaign,589
61873,Saint Joseph,Champaign,6308
61874,Savoy,Champaign,7982
61875,Seymour,Champaign,986
61876,Sidell,Vermilion,636
61877,Sidney,Champaign,1792
61878,Thomasboro,Champaign,1224
61880,Tolono,Champaign,4075
61882,Weldon,Dewitt,653
61883,Westville,Vermilion,4289
61884,White Heath,Piatt,1031
61910,Arcola,Douglas,4477
61911,Arthur,Douglas,5330
61912,Ashmore,Coles,1176
61913,Atwood,Douglas,1410
61914,Bethany,Moultrie,1817
61917,Brocton,Edgar,632
61919,Camargo,Douglas,906
61920,Charleston,Coles,23839
61924,Chrisman,Edgar,2299
61925,Dalton City,Moultrie,776
61928,Gays,Moultrie,596
61929,Hammond,Piatt,679
61930,Hindsboro,Douglas,859
61931,Humboldt,Coles,1190
61932,Hume,Edgar,442
61933,Kansas,Edgar,872
61936,La Place,Piatt,297
61937,Lovington,Moultrie,1967
61938,Mattoon,Coles,21727
61940,Metcalf,Edgar,253
61941,Murdock,Douglas,87
61942,Newman,Douglas,898
61943,Oakland,Coles,1630
61944,Paris,Edgar,12311
61949,Redmon,Edgar,129
61951,Sullivan,Moultrie,7817
61953,Tuscola,Douglas,6019
61955,Vermilion,Edgar,189
61956,Villa Grove,Douglas,2749
61957,Windsor,Shelby,1789
62001,Alhambra,Madison,1669
62002,Alton,Madison,31087
62006,Batchtown,Calhoun,442
62009,Benld,Macoupin,1720
62010,Bethalto,Madison,11409
62011,Bingham,Fayette,224
62012,Brighton,Jersey,6510
62013,Brussels,Calhoun,619
62014,Bunker Hill,Macoupin,4063
62015,Butler,Montgomery,690
62016,Carrollton,Greene,3572
62017,Coffeen,Montgomery,927
62018,Cottage Hills,Madison,3017
62019,Donnellson,Bond,298
62021,Dorsey,Madison,1207
62022,Dow,Jersey,1103
62023,Eagarville,Macoupin,124
62024,East Alton,Madison,9799
62025,Edwardsville,Madison,34960
62027,Eldred,Greene,589
62028,Elsah,Jersey,1119
62030,Fidelity,Jersey,203
62031,Fieldon,Jersey,800
62032,Fillmore,Montgomery,749
62033,Gillespie,Macoupin,4539
62034,Glen Carbon,Madison,13487
62035,Godfrey,Madison,16080
62036,Golden Eagle,Calhoun,706
62037,Grafton,Jersey,1990
62040,Granite City,Madison,42149
62044,Greenfield,Greene,2262
62045,Hamburg,Calhoun,533
62046,Hamel,Madison,709
62047,Hardin,Calhoun,1691
62048,Hartford,Madison,1965
62049,Hillsboro,Montgomery,8513
62050,Hillview,Greene,376
62051,Irving,Montgomery,687
62052,Jerseyville,Jersey,12418
62053,Kampsville,Calhoun,550
62054,Kane,Greene,606
62056,Litchfield,Montgomery,8507
62058,Livingston,Madison,704
62059,Lovejoy,St. Clair,411
62060,Madison,Madison,4135
62061,Marine,Madison,1631
62062,Maryville,Madison,8078
62063,Medora,Jersey,991
62065,Michael,Calhoun,127
62067,Moro,Madison,2202
62069,Mount Olive,Macoupin,3184
62070,Mozier,Calhoun,16
62074,New Douglas,Madison,1068
62075,Nokomis,Montgomery,3595
62076,Ohlman,Montgomery,122
62077,Panama,Montgomery,288
62078,Patterson,Greene,107
62079,Piasa,Macoupin,323
62080,Ramsey,Fayette,2355
62081,Rockbridge,Greene,318
62082,Roodhouse,Greene,2742
62083,Rosamond,Christian,167
62084,Roxana,Madison,1511
62085,Sawyerville,Macoupin,162
62086,Sorento,Bond,1224
62087,South Roxana,Madison,2073
62088,Staunton,Macoupin,6647
62089,Taylor Springs,Montgomery,439
62090,Venice,Madison,1417
62091,Walshville,Montgomery,399
62092,White Hall,Greene,2894
62093,Wilsonville,Macoupin,434
62094,Witt,Montgomery,1104
62095,Wood River,Madison,10471
62097,Worden,Madison,2893
62098,Wrights,Greene,18
62201,East Saint Louis,St. Clair,6853
62203,East Saint Louis,St. Clair,8366
62204,East Saint Louis,St. Clair,8133
62205,East Saint Louis,St. Clair,7781
62206,East Saint Louis,St. Clair,15046
62207,East Saint Louis,St. Clair,9090
62208,Fairview Heights,St. Clair,16544
62214,Addieville,Washington,1332
62215,Albers,Clinton,2103
62216,Aviston,Clinton,2736
62217,Baldwin,Randolph,773
62218,Bartelso,Clinton,1713
62219,Beckemeyer,Clinton,1170
62220,Belleville,St. Clair,17722
62221,Belleville,St. Clair,30301
62223,Belleville,St. Clair,16004
62225,Scott Air Force Base,St. Clair,5209
62226,Belleville,St. Clair,28914
62230,Breese,Clinton,6308
62231,Carlyle,Clinton,7313
62232,Caseyville,St. Clair,6828
62233,Chester,Randolph,9521
62234,Collinsville,Madison,32474
62236,Columbia,Monroe,14067
62237,Coulterville,Randolph,2398
62238,Cutler,Perry,632
62239,Dupo,St. Clair,4595
62240,East Carondelet,St. Clair,1507
62241,Ellis Grove,Randolph,878
62242,Evansville,Randolph,1365
62243,Freeburg,St. Clair,5757
62244,Fults,Monroe,1006
62245,Germantown,Clinton,1795
62246,Greenville,Bond,9964
62248,Hecker,Monroe,396
62249,Highland,Madison,15574
62250,Hoffman,Clinton,468
62253,Keyesport,Clinton,544
62254,Lebanon,St. Clair,6189
62255,Lenzburg,St. Clair,1332
62257,Marissa,St. Clair,2416
62258,Mascoutah,St. Clair,9491
62260,Millstadt,St. Clair,7537
62261,Modoc,Randolph,52
62262,Mulberry Grove,Bond,1619
62263,Nashville,Washington,4912
62264,New Athens,St. Clair,3754
62265,New Baden,Clinton,4072
62266,New Memphis,Clinton,102
62268,Oakdale,Washington,861
62269,O Fallon,St. Clair,31567
62271,Okawville,Washington,1994
62272,Percy,Randolph,1859
62273,Pierron,Bond,147
62274,Pinckneyville,Perry,7699
62275,Pocahontas,Bond,3824
62277,Prairie Du Rocher,Randolph,1197
62278,Red Bud,Randolph,6426
62279,Renault,Monroe,0
62280,Rockwood,Randolph,550
62281,Saint Jacob,Madison,2856
62282,Saint Libory,St. Clair,389
62284,Smithboro,Bond,574
62285,Smithton,St. Clair,4510
62286,Sparta,Randolph,6230
62288,Steeleville,Randolph,2891
62289,Summerfield,St. Clair,330
62292,Tilden,Randolph,895
62293,Trenton,Clinton,4437
62294,Troy,Madison,14156
62295,Valmeyer,Monroe,1493
62297,Walsh,Randolph,452
62298,Waterloo,Monroe,16826
62301,Quincy,Adams,32350
62305,Quincy,Adams,19081
62311,Augusta,Hancock,701
62312,Barry,Pike,1951
62313,Basco,Hancock,372
62314,Baylis,Pike,479
62316,Bowen,Hancock,662
62319,Camden,Schuyler,219
62320,Camp Point,Adams,2494
62321,Carthage,Hancock,3806
62323,Chambersburg,Pike,241
62324,Clayton,Adams,1112
62325,Coatsburg,Adams,501
62326,Colchester,Mcdonough,2510
62330,Dallas City,Hancock,1786
62334,Elvaston,Hancock,167
62336,Ferris,Hancock,21
62338,Fowler,Adams,1401
62339,Golden,Adams,829
62340,Griggsville,Pike,1906
62341,Hamilton,Hancock,3425
62343,Hull,Pike,860
62344,Huntsville,Schuyler,5
62345,Kinderhook,Pike,382
62346,La Prairie,Adams,160
62347,Liberty,Adams,1992
62348,Lima,Adams,155
62349,Loraine,Adams,695
62351,Mendon,Adams,1708
62352,Milton,Pike,289
62353,Mount Sterling,Brown,5224
62354,Nauvoo,Hancock,1484
62355,Nebo,Pike,745
62356,New Canton,Pike,402
62357,New Salem,Pike,462
62358,Niota,Hancock,779
62359,Paloma,Adams,159
62360,Payson,Adams,1651
62361,Pearl,Pike,362
62362,Perry,Pike,303
62363,Pittsfield,Pike,5694
62365,Plainville,Adams,477
62366,Pleasant Hill,Pike,1637
62367,Plymouth,Hancock,1021
62370,Rockport,Pike,407
62373,Sutter,Hancock,203
62374,Tennessee,Mcdonough,337
62375,Timewell,Brown,335
62376,Ursa,Adams,1110
62378,Versailles,Brown,1047
62379,Warsaw,Hancock,1947
62380,West Point,Hancock,552
62401,Effingham,Effingham,18886
62410,Allendale,Wabash,1377
62411,Altamont,Effingham,4145
62413,Annapolis,Crawford,277
62414,Beecher City,Effingham,1888
62417,Bridgeport,Lawrence,2920
62418,Brownstown,Fayette,2180
62419,Calhoun,Richland,185
62420,Casey,Clark,4675
62421,Claremont,Richland,593
62422,Cowden,Shelby,1014
62423,Dennison,Clark,642
62424,Dieterich,Effingham,2421
62425,Dundas,Richland,431
62426,Edgewood,Effingham,891
62427,Flat Rock,Crawford,1781
62428,Greenup,Cumberland,2915
62431,Herrick,Shelby,1030
62432,Hidalgo,Jasper,521
62433,Hutsonville,Crawford,994
62434,Ingraham,Clay,365
62436,Jewett,Cumberland,713
62438,Lakewood,Shelby,334
62439,Lawrenceville,Lawrence,7107
62440,Lerna,Coles,1288
62441,Marshall,Clark,6707
62442,Martinsville,Clark,2643
62443,Mason,Effingham,1538
62444,Mode,Shelby,370
62445,Montrose,Effingham,1278
62446,Mount Erie,Wayne,372
62447,Neoga,Cumberland,3366
62448,Newton,Jasper,5383
62449,Oblong,Crawford,2963
62450,Olney,Richland,12216
62451,Palestine,Crawford,1958
62452,Parkersburg,Richland,293
62454,Robinson,Crawford,11166
62458,Saint Elmo,Fayette,2077
62459,Sainte Marie,Jasper,344
62460,Saint Francisville,Lawrence,1297
62461,Shumway,Effingham,724
62462,Sigel,Shelby,942
62463,Stewardson,Shelby,1230
62465,Strasburg,Shelby,960
62466,Sumner,Lawrence,4605
62467,Teutopolis,Effingham,4259
62468,Toledo,Cumberland,2492
62469,Trilla,Coles,517
62471,Vandalia,Fayette,10306
62473,Watson,Effingham,1262
62474,Westfield,Clark,897
62475,West Liberty,Jasper,503
62476,West Salem,Edwards,1533
62477,West Union,Clark,732
62478,West York,Crawford,409
62479,Wheeler,Jasper,1027
62480,Willow Hill,Jasper,485
62481,Yale,Jasper,485
62501,Argenta,Macon,2585
62510,Assumption,Christian,1496
62512,Beason,Logan,456
62513,Blue Mound,Macon,1724
62514,Boody,Macon,305
62515,Buffalo,Sangamon,1164
62517,Bulpitt,Christian,214
62518,Chestnut,Logan,159
62519,Cornland,Logan,90
62520,Dawson,Sangamon,1576
62521,Decatur,Macon,35261
62522,Decatur,Macon,15379
62523,Decatur,Macon,1382
62526,Decatur,Macon,31544
62530,Divernon,Sangamon,1356
62531,Edinburg,Christian,1647
62532,Elwin,Macon,70
62533,Farmersville,Montgomery,776
62534,Findlay,Shelby,1307
62535,Forsyth,Macon,3011
62536,Glenarm,Sangamon,667
62537,Harristown,Macon,80
62538,Harvel,Montgomery,537
62539,Illiopolis,Sangamon,1247
62540,Kincaid,Christian,1549
62541,Lake Fork,Logan,21
62543,Latham,Logan,483
62544,Macon,Macon,1677
62545,Mechanicsburg,Sangamon,1158
62546,Morrisonville,Christian,1740
62547,Mount Auburn,Christian,992
62548,Mount Pulaski,Logan,2443
62549,Mt Zion,Macon,6354
62550,Moweaqua,Shelby,2790
62551,Niantic,Macon,743
62553,Oconee,Shelby,528
62554,Oreana,Macon,1290
62555,Owaneco,Christian,456
62556,Palmer,Christian,344
62557,Pana,Christian,7127
62558,Pawnee,Sangamon,3341
62560,Raymond,Montgomery,1355
62561,Riverton,Sangamon,5405
62563,Rochester,Sangamon,5567
62565,Shelbyville,Shelby,7046
62567,Stonington,Christian,1030
62568,Taylorville,Christian,15612
62570,Tovey,Christian,454
62571,Tower Hill,Shelby,1628
62572,Waggoner,Montgomery,488
62573,Warrensburg,Macon,1803
62601,Alexander,Morgan,293
62610,Alsey,Scott,119
62611,Arenzville,Cass,1108
62612,Ashland,Cass,1832
62613,Athens,Menard,3862
62615,Auburn,Sangamon,5519
62617,Bath,Mason,659
62618,Beardstown,Cass,7238
62621,Bluffs,Scott,1286
62622,Bluff Springs,Cass,42
62624,Browning,Schuyler,427
62625,Cantrall,Sangamon,759
62626,Carlinville,Macoupin,7603
62627,Chandlerville,Cass,910
62628,Chapin,Morgan,735
62629,Chatham,Sangamon,14597
62630,Chesterfield,Macoupin,430
62631,Concord,Morgan,261
62633,Easton,Mason,562
62634,Elkhart,Logan,843
62635,Emden,Logan,666
62638,Franklin,Morgan,1242
62639,Frederick,Schuyler,294
62640,Girard,Macoupin,3668
62642,Greenview,Menard,1334
62643,Hartsburg,Logan,490
62644,Havana,Mason,4921
62649,Hettick,Macoupin,603
62650,Jacksonville,Morgan,26524
62655,Kilbourne,Mason,367
62656,Lincoln,Logan,19280
62661,Loami,Sangamon,1646
62663,Manchester,Scott,258
62664,Mason City,Mason,3182
62665,Meredosia,Morgan,1399
62666,Middletown,Logan,580
62667,Modesto,Macoupin,486
62668,Murrayville,Morgan,1349
62670,New Berlin,Sangamon,2784
62671,New Holland,Logan,596
62672,Nilwood,Macoupin,176
62673,Oakford,Menard,416
62674,Palmyra,Macoupin,1393
62675,Petersburg,Menard,5943
62677,Pleasant Plains,Sangamon,2295
62681,Rushville,Schuyler,5501
62682,San Jose,Mason,963
62684,Sherman,Sangamon,5840
62685,Shipman,Macoupin,2310
62688,Tallula,Menard,699
62689,Thayer,Sangamon,567
62690,Virden,Macoupin,3957
62691,Virginia,Cass,2020
62692,Waverly,Morgan,2152
62693,Williamsville,Sangamon,1565
62694,Winchester,Scott,3018
62695,Woodson,Morgan,200
62701,Springfield,Sangamon,1147
62702,Springfield,Sangamon,33563
62703,Springfield,Sangamon,29830
62704,Springfield,Sangamon,40672
62707,Springfield,Sangamon,7097
62801,Centralia,Marion,21185
62803,Hoyleton,Washington,1142
62806,Albion,Edwards,3419
62807,Alma,Marion,768
62808,Ashley,Washington,1490
62809,Barnhill,Wayne,150
62810,Belle Rive,Jefferson,908
62811,Bellmont,Wabash,290
62812,Benton,Franklin,10881
62814,Bluford,Jefferson,2046
62815,Bone Gap,Edwards,284
62816,Bonnie,Jefferson,1276
62817,Broughton,Hamilton,433
62818,Browns,Edwards,251
62819,Buckner,Franklin,382
62820,Burnt Prairie,White,183
62821,Carmi,White,7145
62822,Christopher,Franklin,2960
62823,Cisne,Wayne,1681
62824,Clay City,Clay,1888
62825,Coello,Franklin,192
62827,Crossville,White,1215
62828,Dahlgren,Hamilton,1376
62829,Dale,Hamilton,21
62830,Dix,Jefferson,1229
62831,Du Bois,Washington,383
62832,Du Quoin,Perry,8785
62833,Ellery,Edwards,420
62835,Enfield,White,962
62836,Ewing,Franklin,771
62837,Fairfield,Wayne,8826
62838,Farina,Fayette,1853
62839,Flora,Clay,6401
62841,Freeman Spur,Williamson,150
62842,Geff,Wayne,743
62843,Golden Gate,Wayne,184
62844,Grayville,White,2081
62846,Ina,Jefferson,2613
62848,Irvington,Washington,692
62849,Iuka,Marion,2085
62850,Johnsonville,Wayne,348
62851,Keenes,Wayne,150
62852,Keensburg,Wabash,57
62853,Kell,Marion,894
62854,Kinmundy,Marion,1495
62856,Logan,Franklin,373
62858,Louisville,Clay,2713
62859,Mc Leansboro,Hamilton,5683
62860,Macedonia,Hamilton,561
62861,Maunie,White,166
62862,Mill Shoals,White,359
62863,Mount Carmel,Wabash,9611
62864,Mount Vernon,Jefferson,23498
62865,Mulkeytown,Franklin,1977
62867,New Haven,Gallatin,486
62868,Noble,Richland,1986
62869,Norris City,White,2490
62870,Odin,Marion,2211
62871,Omaha,Gallatin,698
62872,Opdyke,Jefferson,1077
62874,Orient,Franklin,426
62875,Patoka,Marion,1110
62876,Radom,Washington,184
62877,Richview,Washington,516
62878,Rinard,Wayne,483
62879,Sailor Springs,Clay,78
62880,Saint Peter,Fayette,712
62881,Salem,Marion,10700
62882,Sandoval,Marion,2437
62883,Scheller,Jefferson,828
62884,Sesser,Franklin,2637
62885,Shobonier,Fayette,659
62886,Sims,Wayne,257
62887,Springerton,White,497
62888,Tamaroa,Perry,2070
62889,Texico,Jefferson,885
62890,Thompsonville,Franklin,2737
62891,Valier,Franklin,715
62892,Vernon,Marion,377
62893,Walnut Hill,Marion,1054
62894,Waltonville,Jefferson,1074
62895,Wayne City,Wayne,1897
62896,West Frankfort,Franklin,11971
62897,Whittington,Franklin,406
62898,Woodlawn,Jefferson,2184
62899,Xenia,Clay,1815
62901,Carbondale,Jackson,26255
62902,Carbondale,Jackson,4358
62903,Carbondale,Jackson,3242
62905,Alto Pass,Union,560
62906,Anna,Union,6582
62907,Ava,Jackson,2007
62908,Belknap,Johnson,561
62910,Brookport,Massac,2367
62912,Buncombe,Johnson,1307
62914,Cairo,Alexander,2375
62915,Cambria,Williamson,431
62916,Campbell Hill,Jackson,938
62917,Carrier Mills,Saline,2154
62918,Carterville,Williamson,10177
62919,Cave In Rock,Hardin,1060
62920,Cobden,Union,3219
62921,Colp,Williamson,332
62922,Creal Springs,Williamson,2764
62923,Cypress,Johnson,468
62924,De Soto,Jackson,2956
62926,Dongola,Union,2373
62927,Dowell,Jackson,369
62928,Eddyville,Pope,192
62930,Eldorado,Saline,5915
62931,Elizabethtown,Hardin,1484
62932,Elkville,Jackson,1400
62933,Energy,Williamson,1160
62934,Equality,Gallatin,720
62935,Galatia,Saline,1994
62938,Golconda,Pope,2994
62939,Goreville,Johnson,2936
62940,Gorham,Jackson,308
62941,Grand Chain,Pulaski,740
62942,Grand Tower,Jackson,624
62943,Grantsburg,Johnson,372
62946,Harrisburg,Saline,12530
62947,Herod,Pope,522
62948,Herrin,Williamson,13248
62949,Hurst,Williamson,731
62950,Jacob,Jackson,204
62951,Johnston City,Williamson,4604
62952,Jonesboro,Union,3144
62953,Joppa,Massac,274
62954,Junction,Gallatin,456
62956,Karnak,Pulaski,940
62957,Mc Clure,Alexander,867
62958,Makanda,Jackson,2134
62959,Marion,Williamson,28115
62960,Metropolis,Massac,10755
62961,Millcreek,Union,31
62962,Miller City,Alexander,0
62963,Mound City,Pulaski,744
62964,Mounds,Pulaski,1168
62965,Muddy,Saline,95
62966,Murphysboro,Jackson,15049
62967,New Burnside,Johnson,242
62969,Olive Branch,Alexander,438
62970,Olmsted,Pulaski,685
62972,Ozark,Johnson,958
62974,Pittsburg,Williamson,1653
62975,Pomona,Jackson,169
62976,Pulaski,Pulaski,402
62977,Raleigh,Saline,754
62979,Ridgway,Gallatin,1020
62982,Rosiclare,Hardin,877
62983,Royalton,Franklin,1476
62984,Shawneetown,Gallatin,1673
62985,Simpson,Johnson,610
62987,Stonefort,Saline,1494
62988,Tamms,Alexander,1444
62990,Thebes,Alexander,1036
62992,Ullin,Pulaski,751
62994,Vergennes,Jackson,678
62995,Vienna,Johnson,6034
62996,Villa Ridge,Pulaski,520
62997,Willisville,Perry,617
62998,Wolf Lake,Union,316
62999,Zeigler,Franklin,1771
